OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	taxonomy
OTU_631	26.1319748	3.19E-07	1.61E-06	0.000178561	13.80487805	4.029411765	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__Rickettsiella; s__
OTU_1168	15.88357706	6.74E-05	0.000131436	0.037721998	17.31707317	0.617647059	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__
OTU_1260	15.77229211	7.14E-05	0.000137955	0.040007038	1.926829268	0.058823529	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter; s__
OTU_1972	27.51525746	1.56E-07	9.70E-07	8.73E-05	16.07317073	0.029411765	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__; s__
OTU_343	27.38090282	1.67E-07	1.03E-06	9.36E-05	46.04878049	0.029411765	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__; s__
OTU_1735	18.96275862	1.33E-05	3.36E-05	0.007464516	10.34146341	0.808823529	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__; s__
OTU_2	25.53157085	4.35E-07	2.10E-06	0.000243714	65.65853659	22.01470588	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
OTU_1506	25.18357868	5.21E-07	2.35E-06	0.000291895	34.26829268	20.29411765	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
OTU_3228	20.24311212	6.82E-06	1.94E-05	0.003819119	27.02439024	8.838235294	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
OTU_16	22.30654773	2.32E-06	8.03E-06	0.001301512	526.5609756	278.5441176	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii
OTU_48	42.71596145	6.33E-11	3.94E-09	3.54E-08	499.2682927	20.04411765	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__lwoffii
OTU_188	39.69379218	2.97E-10	1.19E-08	1.66E-07	405.6097561	18.08823529	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter; s__
OTU_1123	28.40942477	9.82E-08	6.81E-07	5.50E-05	7.609756098	0.102941176	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter; s__sanguinis
OTU_288	39.93043033	2.63E-10	1.13E-08	1.47E-07	77.48780488	4.705882353	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__; s__
OTU_101	35.96610087	2.01E-09	3.83E-08	1.12E-06	65.7804878	2.352941176	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
OTU_327	17.7789475	2.48E-05	5.56E-05	0.013894355	18.24390244	18	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
OTU_2038	22.62243845	1.97E-06	7.08E-06	0.001104143	2.951219512	0.308823529	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__stutzeri
OTU_1451	23.15456049	1.49E-06	5.54E-06	0.000837134	7.390243902	0.970588235	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
OTU_733	17.86386562	2.37E-05	5.34E-05	0.013287905	1.609756098	0.044117647	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__
OTU_392	22.34487206	2.28E-06	7.92E-06	0.001275795	14.31707317	8.720588235	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
OTU_241	21.59526459	3.37E-06	1.10E-05	0.00188542	3.926829268	0.102941176	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
OTU_67	21.32765292	3.87E-06	1.21E-05	0.002167799	2.097560976	0.117647059	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
OTU_165	20.28713502	6.66E-06	1.92E-05	0.003732244	11.75609756	0.029411765	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
OTU_273	52.87126909	3.56E-13	9.32E-11	1.99E-10	66.48780488	0.411764706	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Luteimonas; s__
OTU_1374	19.12642221	1.22E-05	3.11E-05	0.006851009	1.804878049	0.117647059	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__
OTU_1324	15.95514505	6.49E-05	0.000127447	0.036322297	2.195121951	0.058823529	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas; s__mexicana
OTU_1885	21.06324562	4.44E-06	1.35E-05	0.002488474	2.341463415	0.014705882	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
OTU_479	18.89037595	1.38E-05	3.43E-05	0.007753165	1.048780488	0.014705882	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Luteolibacter; s__
OTU_1331	16.98707725	3.76E-05	7.99E-05	0.021075657	1.024390244	0.014705882	k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__
